time	V(vtag)
3.236673899285395e+001	2.976067e+000
3.260390417142537e+001	2.976069e+000
3.284106934999680e+001	2.976069e+000
3.298954375000019e+001	2.976070e+000
3.300000000000000e+001	2.976070e+000
3.300008000000000e+001	2.975323e+000
3.300024000000000e+001	2.972619e+000
3.300048000000000e+001	2.965050e+000
3.300080000000000e+001	2.950597e+000
3.300194285714286e+001	2.881459e+000
3.300308571428571e+001	2.812434e+000
3.300422857142857e+001	2.743522e+000
3.300537142857143e+001	2.674723e+000
3.300651428571429e+001	2.606037e+000
3.300765714285714e+001	2.537464e+000
3.300880000000000e+001	2.469003e+000
3.300902079999999e+001	2.458943e+000
3.300931519999997e+001	2.450678e+000
3.300960000000000e+001	2.446601e+000
3.306811347857305e+001	2.490308e+000
3.312662695714610e+001	2.531067e+000
3.318514043571916e+001	2.568876e+000
3.324365391429220e+001	2.603737e+000
3.330216739286526e+001	2.635649e+000
3.336068087143831e+001	2.664612e+000
3.341919435001136e+001	2.690626e+000
3.351685060001136e+001	2.730062e+000
3.361450685001136e+001	2.764050e+000
3.371216310001136e+001	2.793342e+000
3.380981935001136e+001	2.818588e+000
3.390747560001136e+001	2.840345e+000
3.400513185001136e+001	2.859097e+000
3.410278810001136e+001	2.875257e+000
3.420044435001136e+001	2.889186e+000
3.429810060001136e+001	2.901190e+000
3.439575685001136e+001	2.911535e+000
3.449341310001136e+001	2.920451e+000
3.459106935001136e+001	2.928136e+000
3.468872560001136e+001	2.934758e+000
3.478638185001136e+001	2.940466e+000
3.488403810001136e+001	2.945385e+000
3.498169435001136e+001	2.949625e+000
3.507935060001136e+001	2.953279e+000
3.517700685001136e+001	2.956428e+000
3.527466310001136e+001	2.959142e+000
3.537231935001136e+001	2.961481e+000
3.546997560001136e+001	2.963497e+000
3.556763185001136e+001	2.965234e+000
3.566528810001136e+001	2.966732e+000
3.576294435001136e+001	2.968022e+000
3.586060060001136e+001	2.969134e+000
3.595825685001136e+001	2.970093e+000
3.605591310001136e+001	2.970919e+000
3.615356935001136e+001	2.971631e+000
3.625122560001136e+001	2.972245e+000
3.634888185001136e+001	2.972773e+000
3.644653810001136e+001	2.973229e+000
